time,dfof,speed,exp_upperObj,exp_lowerObj,Walking,rearing,Grooming
435.8666667,0.009120942,1.798938879,0,0,0,0,0
435.9,0.013325952,1.587307727,0,0,0,0,0
435.9333333,0.016812461,1.216589419,0,0,0,0,0
435.9666667,0.018953817,1.052371005,0,0,0,0,0
436,0.026526114,1.246232853,0,0,0,0,0
436.0333333,0.03386158,1.596749944,0,0,0,0,0
436.0666667,0.022152399,1.755502698,0,0,0,0,0
436.1,-0.00125156,1.570897384,0,0,0,0,0
436.1333333,-0.009301441,1.232141719,0,0,0,0,0
436.1666667,0.003426939,1.076678327,0,0,0,0,0
436.2,0.02002298,1.255663425,0,0,0,0,0
436.2333333,0.023232864,1.587800044,0,0,0,0,0
436.2666667,0.01365708,1.742188311,0,0,0,0,0
436.3,0.008083511,1.566327558,0,0,0,0,0
436.3333333,0.01312296,1.235525738,0,0,0,0,0
436.3666667,0.01999067,1.078779734,0,0,0,0,0
436.4,0.021228335,1.254263048,0,0,0,0,0
436.4333333,0.016659279,1.592567181,0,0,0,0,0
436.4666667,0.007461026,1.759542658,0,0,0,0,0
436.5,0.00561975,1.579930982,0,0,0,0,0
436.5333333,0.01431311,1.211147527,0,0,0,0,0
436.5666667,0.019428856,1.005568801,0,0,0,0,0
436.6,0.01680026,1.197517471,0,0,0,0,0
436.6333333,0.014700886,1.708335116,0,0,0,0,0
436.6666667,0.015846565,2.236887802,0,0,0,0,0
436.7,0.017539611,2.528872488,0,0,0,0,0
436.7333333,0.014700252,2.565396233,0,0,0,0,0
436.7666667,0.006412156,2.514989973,0,0,0,0,0
436.8,-0.000302926,2.532363098,0,0,0,0,0
436.8333333,-0.003287182,2.619101107,0,0,0,0,0
436.8666667,-0.000852262,2.66875304,0,0,0,0,0
436.9,2.95E-05,2.61661199,0,0,0,0,0
436.9333333,-0.003687154,2.518244531,0,0,0,0,0
436.9666667,-0.006893223,2.479413689,0,0,0,0,0
437,-0.007665284,2.532107753,0,0,0,0,0
437.0333333,-0.008026165,2.604942438,0,0,0,0,0
437.0666667,-0.008629056,2.617916716,0,0,0,0,0
437.1,-0.00538318,2.581348967,0,0,0,0,0
437.1333333,-0.002360792,2.57259668,0,0,0,0,0
437.1666667,-0.005132864,2.614608952,0,0,0,0,0
437.2,0.002230316,2.615544453,0,0,0,0,0
437.2333333,0.022246462,2.479069909,0,0,0,0,0
437.2666667,0.032921718,2.291978678,0,0,0,0,0
437.3,0.019647259,2.359691223,0,0,0,0,0
437.3333333,-0.00876033,2.971065942,0,0,0,0,0
437.3666667,-0.030504512,4.058553295,0,0,0,0,0
437.4,-0.026283093,5.092737371,0,0,0,0,0
437.4333333,0.002388365,5.395551571,0,0,0,0,0
437.4666667,0.0312467,4.67304353,0,0,0,0,0
437.5,0.038066515,3.313702292,0,0,1,0,0
437.5333333,0.017998667,2.15059854,0,0,1,0,0
437.5666667,-0.005392823,1.848121201,0,0,1,0,0
437.6,-0.006434609,2.429106185,0,0,1,0,0
437.6333333,0.009375721,3.352509014,0,0,1,0,0
437.6666667,0.021478625,4.054248754,0,0,1,0,0
437.7,0.025222034,4.431538675,0,0,1,0,0
437.7333333,0.026933974,4.806695033,0,0,1,0,0
437.7666667,0.026326932,5.419028578,0,0,1,0,0
437.8,0.027327567,5.979379663,0,1,1,0,0
437.8333333,0.031698486,5.794587549,0,1,1,0,0
437.8666667,0.031882309,4.420910421,0,1,1,0,0
437.9,0.024913647,2.246395104,0,1,1,0,0
437.9333333,0.015078875,0.390829775,0,0,1,0,0
437.9666667,0.011049462,-0.092696052,0,0,1,0,0
438,0.012278813,0.939603432,0,0,1,0,0
438.0333333,0.01295051,2.592060701,0,0,1,0,0
438.0666667,0.009253551,3.665800218,0,0,1,0,0
438.1,0.002237938,3.636311329,0,0,1,0,0
438.1333333,-0.002229278,3.014280258,0,0,1,0,0
438.1666667,0.002528785,2.781533458,0,0,1,0,0
438.2,0.01401903,3.43572552,0,0,1,0,0
438.2333333,0.019821851,4.533402037,0,0,1,0,0
438.2666667,0.014304159,5.152908923,0,0,1,0,0
438.3,-0.000215984,4.834747371,0,0,1,0,0
438.3333333,-0.011864673,4.102054804,0,0,1,0,0
438.3666667,-0.00839319,4.047169762,0,0,1,0,0
438.4,0.003159644,5.339059989,0,0,1,0,0
438.4333333,0.004990125,7.552729962,0,0,1,0,0
438.4666667,-0.001065883,9.438079736,0,0,1,0,0
438.5,-0.001612907,9.898337992,0,0,1,0,0
438.5333333,0.001115671,8.822216299,0,0,1,0,0
438.5666667,-0.000611827,7.074806376,0,0,1,0,0
438.6,-0.002422049,5.724906545,0,0,1,0,0
438.6333333,-0.00173291,5.239543508,0,0,1,0,0
438.6666667,-4.07E-06,5.323578214,0,0,1,0,0
438.7,0.000236466,5.424106568,0,0,1,0,0
438.7333333,0.004629667,5.315709847,0,0,1,0,0
438.7666667,0.021217748,5.197216618,0,0,1,0,0
438.8,0.044445313,5.295221955,0,0,1,0,0
438.8333333,0.059741467,5.482657359,0,0,0,0,0
438.8666667,0.059332128,5.365614528,0,0,0,0,0
438.9,0.044416922,4.751063001,0,0,0,0,0
438.9333333,0.031310032,3.964638183,0,0,0,0,0
438.9666667,0.036103326,3.618669628,0,0,0,0,0
439,0.04962582,4.012445055,0,0,0,0,0
439.0333333,0.049975195,4.77383799,0,0,0,0,0
439.0666667,0.035628947,5.156149731,0,0,0,0,0
439.1,0.023894899,4.750925686,0,0,0,1,0
